,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
u1061,,,,,,,,,,,,,,,,,5.0,2.0,,,,1.0,,,,,,,,5.0,,,,,,,5.0,,,,5.0,,4.0,2.0,,,,5.0,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
u1062,5.0,,,,3.0,,,,4.0,4.0,3.0,,5.0,4.0,,5.0,,,5.0,5.0,,,5.0,,5.0,,4.0,,,4.0,,,,,,4.0,4.0,4.0,,4.0,,,,5.0,4.0,,,4.0,,,,,,,,,4.0,,,5.0,,,4.0,,,,,,5.0,3.0,,4.0,4.0,5.0,,5.0,,,,,5.0,,,,,,,,,5.0,5.0,,,,,5.0,5.0,,5.0,
u1063,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,4.0,4.0,5.0,,,,3.0,,4.0,4.0,5.0,4.0,,,,,4.0,4.0,4.0,5.0,4.0,,,5.0,,,5.0,,,,5.0,,,5.0,,,,,5.0,,,5.0,5.0,,,,,,,,,,,5.0,5.0,,,,,,5.0,4.0,5.0,,,,,4.0,4.0,,,,,,5.0,,,,5.0,,,4.0,,,,,4.0,4.0
u1064,4.0,4.0,4.0,,4.0,3.0,,,,,4.0,4.0,4.0,,5.0,4.0,4.0,,5.0,,,,4.0,4.0,,,,4.0,,,3.0,,,3.0,,,,4.0,5.0,,4.0,,,,,,,,,,,,,,,,4.0,,,,5.0,3.0,4.0,,,,4.0,,,,4.0,5.0,,4.0,,,,,4.0,,,4.0,,,,,5.0,,3.0,,,,,,5.0,,,,,
u1065,5.0,,,,,,,,,,,,,,3.0,4.0,,,5.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,3.0,,,,,
u1066,3.0,4.0,3.0,3.0,4.0,,3.0,,,,4.0,4.0,,,,5.0,3.0,,5.0,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,5.0,,,,4.0,,,,4.0,4.0,,,,4.0,,5.0,,3.0,,,,,,5.0,,,,5.0,,,,4.0,,,,,,3.0,,,,,,,,,,,4.0,,,5.0,,
u1067,5.0,4.0,,3.0,4.0,,,5.0,3.0,5.0,3.0,,5.0,,,,,5.0,4.0,4.0,,,5.0,3.0,,,,5.0,,,4.0,,,,,5.0,,,,,4.0,3.0,3.0,,,5.0,4.0,,,,,,,,,,,4.0,3.0,,,,,,4.0,5.0,,,,,4.0,,4.0,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,
u1068,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,3.0,5.0,3.0,,5.0,5.0,3.0,5.0,,5.0,,4.0,5.0,,,5.0,5.0,5.0,4.0,5.0,,3.0,,,5.0,,,,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,,4.0,5.0,,,,4.0,,4.0,4.0,,5.0,5.0,3.0,5.0,4.0,5.0,,,4.0,4.0,5.0,4.0,5.0,,3.0,,,4.0,5.0,,4.0,,5.0,4.0,,4.0,,4.0,3.0,,4.0,,3.0,3.0,,5.0,5.0,3.0,4.0,,
u1069,1.0,,,,3.0,,5.0,3.0,,4.0,4.0,,5.0,,2.0,,,,,,,1.0,,2.0,,1.0,,5.0,,,,4.0,,,,,,,,5.0,,1.0,3.0,,,,,,,,,,5.0,,,,,,,,4.0,,,,,3.0,,,,,4.0,5.0,,3.0,,,,,2.0,5.0,,2.0,,,,,2.0,4.0,,,,3.0,,3.0,3.0,,,,,
u107,,5.0,,,,,,,,5.0,,5.0,3.0,4.0,,2.0,,,4.0,,,,,4.0,4.0,,,,,,,,,,,4.0,,,,,,,,5.0,5.0,5.0,,,,,5.0,,3.0,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
u1070,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
u1071,5.0,5.0,5.0,4.0,,,,,,,,5.0,,5.0,,,,4.0,,,,,,,,5.0,,,,,,,,5.0,,,,5.0,,,,,,,5.0,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,5.0,,,5.0,,,2.0,,,,,,,5.0,,,,,,,,4.0,,,,,,,,
u1072,4.0,5.0,4.0,,,4.0,,,,4.0,,4.0,,5.0,,3.0,,5.0,5.0,,,2.0,,5.0,,,4.0,5.0,4.0,5.0,,,,,,,4.0,,5.0,1.0,4.0,,,,4.0,,,,4.0,,4.0,4.0,5.0,,,,,,5.0,4.0,4.0,,,,4.0,,,,,,,,,,,,5.0,,,,4.0,,,,,4.0,,,,,,,,,,,,,,
u1073,3.0,,5.0,4.0,,,,,,4.0,,,,,,5.0,4.0,5.0,5.0,4.0,,,3.0,5.0,,,,,,,,,,,,4.0,3.0,,,,,,,,3.0,,,,,,5.0,,,,5.0,,,,,5.0,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,
u1074,,2.0,2.0,2.0,4.0,5.0,4.0,,5.0,,2.0,5.0,,,,,,5.0,,5.0,3.0,,,,2.0,5.0,,,4.0,4.0,,,4.0,,,,4.0,,,,2.0,4.0,,,4.0,4.0,,3.0,5.0,,5.0,,,4.0,,,,3.0,,4.0,,4.0,,,,,,,3.0,,,,2.0,3.0,3.0,,,,3.0,,4.0,,,,,,3.0,,,,4.0,,,2.0,4.0,5.0,4.0,4.0,,
u1075,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
u1076,,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,4.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,4.0,,,,,,,,,,,,,4.0,,,
u1077,5.0,4.0,4.0,,,3.0,4.0,3.0,,4.0,,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,,,4.0,4.0,5.0,,4.0,5.0,5.0,3.0,5.0,,3.0,5.0,4.0,4.0,,4.0,5.0,4.0,3.0,,,5.0,4.0,5.0,,,5.0,5.0,5.0,5.0,5.0,4.0,,,,4.0,,,,,4.0,,,,4.0,,,4.0,4.0,4.0,,,,4.0,,,,,4.0,,,,,3.0,,,5.0,4.0,5.0,,,,,3.0,,,4.0,
u1078,5.0,,4.0,4.0,,,,,,1.0,,,5.0,,,5.0,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
u1079,5.0,,4.0,,4.0,4.0,4.0,4.0,,5.0,4.0,,5.0,5.0,,5.0,,5.0,3.0,4.0,,3.0,4.0,5.0,,,,5.0,,,,3.0,5.0,4.0,,,,,5.0,,,,5.0,,,,,4.0,,,,,4.0,,3.0,,,,,,5.0,4.0,,2.0,,,,,,,,,,5.0,,,,,,,,5.0,2.0,3.0,,,,,,,,,4.0,5.0,3.0,,,,,2.0
u108,4.0,,,,4.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1080,5.0,,,,5.0,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
u1081,5.0,,,,,,,5.0,,,,,5.0,5.0,3.0,5.0,,,,,4.0,,5.0,,,5.0,5.0,4.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,4.0
u1082,,,,,4.0,4.0,4.0,4.0,,,,5.0,,,5.0,,,,,,5.0,,,5.0,,,,,5.0,,5.0,5.0,,,,4.0,,,,5.0,,4.0,,,,,,,5.0,,,,,,3.0,5.0,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,5.0,,,,,4.0,,,,,,,,,,,,,
u1083,,1.0,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
u1084,,,,,1.0,4.0,4.0,5.0,,5.0,2.0,,5.0,4.0,4.0,,,4.0,4.0,3.0,,1.0,,,5.0,5.0,,5.0,,3.0,,,4.0,4.0,,,,,5.0,2.0,,1.0,,5.0,,,,,5.0,4.0,3.0,,5.0,3.0,4.0,,,2.0,,,,2.0,,3.0,,,,,,,,,,5.0,,,,,,3.0,3.0,,,2.0,5.0,,,,3.0,5.0,,,,3.0,,,2.0,,,3.0
u1085,,,,3.0,,,3.0,,,4.0,,4.0,5.0,,,,,5.0,4.0,,,,,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0
u1086,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,,4.0,3.0,4.0,,,,5.0,,3.0,,,4.0,5.0,4.0,5.0,5.0,5.0,,,4.0,5.0,,5.0,5.0,,5.0,,4.0,5.0,5.0,5.0,5.0,,,,,5.0,5.0,4.0,4.0,,3.0,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,3.0,4.0,4.0,4.0,5.0,,,,4.0
u1087,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,,4.0,2.0,3.0,,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,,4.0,5.0,3.0,,5.0,,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,,,3.0,,,5.0,,2.0,2.0,,5.0,5.0,2.0,4.0,,5.0,,,,3.0,5.0,5.0,4.0,,2.0
u1088,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,,3.0,4.0,5.0,5.0,,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,,3.0,4.0,4.0,4.0,,3.0,5.0,4.0,3.0,,4.0,4.0,4.0,2.0,4.0,4.0
u1089,,,,,,4.0,5.0,4.0,,5.0,4.0,,4.0,5.0,,,,,4.0,,,,,,,,4.0,,,,5.0,5.0,4.0,,,,,,5.0,4.0,,3.0,3.0,,,,,,5.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,3.0,,,,,,,,
u109,,4.0,4.0,4.0,4.0,,,,4.0,,5.0,5.0,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,5.0,4.0,5.0,2.0,4.0,4.0,,4.0,,,4.0,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,4.0,,,,,,,4.0,,
u1090,,,,,5.0,4.0,4.0,,,3.0,4.0,,4.0,5.0,3.0,2.0,,,,,,,3.0,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,4.0,,3.0,,,,4.0,4.0,,3.0,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,1.0,,,4.0,,,,,,,4.0,,,,,,,,4.0,,,,,
u1091,1.0,,,,4.0,2.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,3.0,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
u1092,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
u1093,,4.0,3.0,3.0,,4.0,3.0,4.0,,,4.0,3.0,,,4.0,,3.0,,,,,,,,3.0,,,,3.0,,4.0,4.0,4.0,5.0,3.0,,,,,,,,,,,,3.0,,2.0,3.0,,3.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,4.0,3.0,,,,,,,,,,,,2.0,,,,,,,
u1094,,,4.0,,,,,,,4.0,,,,5.0,5.0,5.0,4.0,5.0,3.0,2.0,,,,5.0,3.0,5.0,,3.0,3.0,4.0,4.0,3.0,,4.0,4.0,,,,5.0,3.0,2.0,,,3.0,5.0,1.0,3.0,,3.0,,4.0,3.0,,3.0,,4.0,3.0,,,,5.0,5.0,3.0,,4.0,,4.0,,,,4.0,5.0,,,,,,,,,,4.0,,,,3.0,3.0,,5.0,5.0,,,,,,,,,3.0,
u1095,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1096,5.0,,4.0,4.0,4.0,3.0,3.0,5.0,,,,,4.0,5.0,,,,4.0,5.0,,,4.0,5.0,,4.0,,,4.0,,4.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,,,,2.0,,,,,,,,,,,5.0,2.0,,,4.0,4.0,1.0,,,,2.0,,,,,,,
u1097,5.0,,5.0,,4.0,4.0,,3.0,,4.0,3.0,5.0,4.0,,,,,4.0,5.0,4.0,,3.0,5.0,5.0,,4.0,,3.0,4.0,4.0,,3.0,4.0,4.0,,,,,,,4.0,4.0,,,,,,,,,,4.0,,,3.0,5.0,4.0,,,,4.0,,,3.0,3.0,,4.0,,,,,2.0,,,,,,,3.0,4.0,,3.0,5.0,3.0,4.0,,,,4.0,5.0,,,,,4.0,,,,3.0,5.0
u1098,,4.0,,,,3.0,,,4.0,,,,,,,,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
u1099,5.0,,,4.0,4.0,5.0,4.0,,,5.0,4.0,,5.0,3.0,4.0,3.0,,5.0,5.0,4.0,,,5.0,,,,,5.0,,,,3.0,3.0,,,,,,5.0,,,3.0,,5.0,,,,,,4.0,5.0,,5.0,4.0,2.0,,,,,,4.0,,,,5.0,4.0,,,,,4.0,,,,,,,,,1.0,,4.0,5.0,4.0,,,,,,4.0,5.0,2.0,,,,,,,,2.0
u11,5.0,,,,4.0,,,,,5.0,,4.0,5.0,5.0,3.0,2.0,5.0,,,3.0,,,4.0,5.0,,5.0,,,,,,,,,,,,3.0,5.0,,4.0,,,,,,,1.0,,,,,4.0,,,,,4.0,,3.0,5.0,,,,,,,4.0,,5.0,,5.0,,3.0,,4.0,4.0,,5.0,1.0,,5.0,,,2.0,,,,,5.0,,,,,,5.0,,,,
u110,5.0,,,,3.0,,,,,,,,5.0,,,,,,5.0,,,3.0,,,,4.0,,5.0,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,
u1100,1.0,,,,,,,,3.0,,1.0,,,,,,4.0,,,4.0,2.0,,3.0,,,1.0,3.0,,,2.0,,,,,,,4.0,,,4.0,4.0,,3.0,,3.0,,,2.0,,,,,,,,,3.0,5.0,3.0,3.0,,,3.0,,,,,2.0,2.0,3.0,,,,,,4.0,2.0,,2.0,,3.0,,4.0,3.0,2.0,,,,4.0,4.0,,,1.0,,,5.0,3.0,3.0,3.0,
u1101,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,,4.0,2.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,,3.0,3.0,5.0,2.0,,5.0,,,4.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,,,2.0,4.0,,5.0,4.0,3.0,4.0,1.0,5.0,3.0,,5.0,3.0,4.0,3.0,3.0,,5.0,3.0,,5.0,5.0,3.0,1.0,,4.0,,4.0,5.0,,4.0,5.0,3.0,5.0,4.0,2.0,5.0,,,4.0,4.0,,,,5.0,3.0
u1102,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
u1103,,,,,,,,4.0,,,,,,,,,,,4.0,,5.0,,,,,3.0,4.0,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,5.0,,,,,
u1104,5.0,,,,,5.0,,,,5.0,,,5.0,,,4.0,,5.0,,,,,5.0,3.0,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,,,,,,3.0,,3.0,,,,4.0,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
u1105,5.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,,4.0,,,5.0,5.0,,5.0,,,5.0,5.0,,3.0,4.0,,,5.0,2.0,5.0,4.0,5.0,,,,4.0,,,,,5.0,,4.0,,,5.0,5.0,,,5.0,4.0,4.0,,4.0,,,,,3.0,,1.0,,,,,,,5.0,,5.0,,,,,,,4.0,,4.0,,4.0,3.0,,3.0,,4.0,,5.0,3.0,,2.0,,5.0,,,,3.0
u1106,2.0,,4.0,,5.0,,5.0,,,5.0,4.0,,,,5.0,,,,,,5.0,,,,,,,,3.0,,,,,,5.0,5.0,,5.0,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
u1107,,,,,,,,,,,5.0,,,5.0,,5.0,,,5.0,4.0,,,,,,5.0,,,,5.0,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,4.0,,,,4.0,,,,,,
u1108,5.0,,,,4.0,,5.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
u1109,,4.0,5.0,3.0,2.0,5.0,,,,4.0,3.0,4.0,5.0,,5.0,,,5.0,4.0,,4.0,3.0,,5.0,,,,,,,4.0,,,,,,5.0,,,4.0,,,,,4.0,,,,,,,,,,,3.0,,,,,,3.0,4.0,3.0,,4.0,,,,,4.0,5.0,4.0,5.0,4.0,,,3.0,5.0,,,,,,,,,,,,,,,,5.0,5.0,,,,
u111,,,,,3.0,5.0,,,,4.0,,,,4.0,,,,,5.0,4.0,,,4.0,5.0,,5.0,,4.0,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,5.0,,,,,5.0,,,,,,,,4.0,,,4.0,,,,4.0,,,,,,
u1110,4.0,,,,,,,,,4.0,,,,5.0,,5.0,,,,,,,5.0,,4.0,,5.0,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1111,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
u1112,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,3.0,5.0,,5.0,5.0,4.0,5.0,5.0,,,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,,3.0,5.0,3.0,5.0,4.0,5.0,4.0,,5.0
u1113,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,,,5.0,4.0,4.0,5.0,,4.0,3.0,5.0,5.0,5.0,,5.0,,,,5.0,5.0,4.0,,4.0,,,5.0,,5.0,,5.0,5.0,,5.0,,,,4.0,,4.0,5.0,,,5.0,4.0,5.0,,,4.0,,,,4.0,5.0,4.0,4.0,4.0,4.0,,5.0,,,,4.0,3.0,4.0,5.0,4.0,5.0,,5.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,,3.0,4.0,4.0,4.0,4.0,,,4.0
u1114,,,,2.0,5.0,,,,,,,,,,,5.0,3.0,,,1.0,,,,,,5.0,4.0,,,,,,,,,,2.0,,,,,,1.0,,,,5.0,4.0,,,4.0,,,,,,,,5.0,5.0,,5.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,2.0,5.0,,5.0,,,5.0,,
u1115,3.0,4.0,4.0,,,,,,3.0,4.0,,,4.0,,,,,5.0,,,3.0,3.0,,5.0,5.0,,,5.0,,,2.0,,,,,,,,,,,,,4.0,,1.0,,,5.0,5.0,,,5.0,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1116,,,5.0,,,,,,4.0,5.0,,5.0,,,,4.0,5.0,,,5.0,,,4.0,,,,5.0,,,4.0,,,,,,,,4.0,,,3.0,,,,,,,4.0,,,,,,,,,3.0,4.0,4.0,5.0,,,5.0,,5.0,,,,,5.0,,,,,,5.0,,,,,2.0,,4.0,,,,,,4.0,5.0,,,3.0,3.0,,5.0,3.0,,4.0,
u1117,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,4.0,3.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,5.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
u1118,5.0,,,,4.0,,4.0,,,,3.0,4.0,,,5.0,,,,,,,3.0,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1119,,5.0,5.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,,4.0,,4.0,,,4.0,,,5.0,3.0,,,5.0,,,,4.0,,5.0,4.0,,5.0,5.0,5.0,4.0,4.0,,,4.0,4.0,4.0,4.0,5.0,,5.0,,4.0,5.0,5.0,,,,,,,5.0,,,,4.0,4.0,,,4.0,,4.0,,,4.0,,5.0,4.0,5.0,,,,5.0,4.0,,,,,,4.0,4.0,5.0,,,5.0,,,,,4.0,,,,
u112,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,5.0,4.0,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
u1120,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,,,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,,5.0,,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0
u1121,5.0,,,,3.0,5.0,,,3.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,,5.0,4.0,4.0,,,,4.0,5.0,4.0,,4.0,,,2.0,3.0,4.0,,2.0,,3.0,4.0,3.0,5.0,,,,5.0,4.0,,,,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,,,5.0,5.0,3.0,,,5.0,,,,,,,,,5.0,,4.0,,2.0,4.0,4.0,4.0,5.0,,5.0,4.0,,,,4.0,4.0,,,,4.0,4.0,,,,4.0,4.0
u1122,,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,,3.0,,,4.0,,,,,,,3.0,,,,,,,,4.0,,5.0,4.0,,,5.0,4.0,3.0,,,,,3.0,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,3.0,,,,,3.0,,,,,,,3.0,,,,5.0,2.0,,,,,,,,
